index,node,level,parents,params
0,258397551,0,,400000.0;1000.0;0.5;0.05
1,257874540,0,,400000.0;1000.0;0.5;0.05
2,421256110,0,,400000.0;1000.0;0.5;0.05
3,421251263,0,,400000.0;1000.0;0.5;0.05
4,421250686,0,,400000.0;1000.0;0.5;0.05
5,421255550,0,,400000.0;1000.0;0.5;0.05
6,421251469,0,,400000.0;1000.0;0.5;0.05
7,421252589,0,,400000.0;1000.0;0.5;0.05
8,421251653,0,,400000.0;1000.0;0.5;0.05
9,421254759,0,,400000.0;1000.0;0.5;0.05
10,421251654,0,,400000.0;1000.0;0.5;0.05
11,421246816,0,,400000.0;1000.0;0.5;0.05
12,421254359,0,,400000.0;1000.0;0.5;0.05
13,421254168,0,,400000.0;1000.0;0.5;0.05
14,421252211,0,,400000.0;1000.0;0.5;0.05
15,421253972,0,,400000.0;1000.0;0.5;0.05
16,421251839,0,,400000.0;1000.0;0.5;0.05
17,421253779,0,,400000.0;1000.0;0.5;0.05
18,421251264,0,,400000.0;1000.0;0.5;0.05
19,421255355,0,,400000.0;1000.0;0.5;0.05
20,421254948,0,,400000.0;1000.0;0.5;0.05
21,421256653,0,,400000.0;1000.0;0.5;0.05
22,421257233,0,,400000.0;1000.0;0.5;0.05
23,421257609,0,,400000.0;1000.0;0.5;0.05
24,421258027,0,,400000.0;1000.0;0.5;0.05
25,421228233,0,,400000.0;1000.0;0.5;0.05
26,421228444,0,,400000.0;1000.0;0.5;0.05
27,421228234,0,,400000.0;1000.0;0.5;0.05
28,421228235,0,,400000.0;1000.0;0.5;0.05
29,421227622,0,,400000.0;1000.0;0.5;0.05
30,421226378,0,,400000.0;1000.0;0.5;0.05
31,421227200,0,,400000.0;1000.0;0.5;0.05
32,421225970,0,,400000.0;1000.0;0.5;0.05
33,421227199,0,,400000.0;1000.0;0.5;0.05
34,421225971,0,,400000.0;1000.0;0.5;0.05
35,421224549,0,,400000.0;1000.0;0.5;0.05
36,421224356,0,,400000.0;1000.0;0.5;0.05
37,421225177,0,,400000.0;1000.0;0.5;0.05
38,421224960,0,,400000.0;1000.0;0.5;0.05
39,421234631,0,,400000.0;1000.0;0.5;0.05
40,421234460,0,,400000.0;1000.0;0.5;0.05
41,421234258,0,,400000.0;1000.0;0.5;0.05
42,421234060,0,,400000.0;1000.0;0.5;0.05
43,421233846,0,,400000.0;1000.0;0.5;0.05
44,421233227,0,,400000.0;1000.0;0.5;0.05
45,421234061,0,,400000.0;1000.0;0.5;0.05
46,421230729,0,,400000.0;1000.0;0.5;0.05
47,421231340,0,,400000.0;1000.0;0.5;0.05
48,421231132,0,,400000.0;1000.0;0.5;0.05
49,421230291,0,,400000.0;1000.0;0.5;0.05
50,421232803,0,,400000.0;1000.0;0.5;0.05
51,421230079,0,,400000.0;1000.0;0.5;0.05
52,421231133,0,,400000.0;1000.0;0.5;0.05
53,421229275,0,,400000.0;1000.0;0.5;0.05
54,421245099,0,,400000.0;1000.0;0.5;0.05
55,421248638,0,,400000.0;1000.0;0.5;0.05
56,421244693,0,,400000.0;1000.0;0.5;0.05
57,421254361,0,,400000.0;1000.0;0.5;0.05
58,421252029,0,,400000.0;1000.0;0.5;0.05
59,421247027,0,,400000.0;1000.0;0.5;0.05
60,421250467,0,,400000.0;1000.0;0.5;0.05
61,421253578,0,,400000.0;1000.0;0.5;0.05
62,421246068,0,,400000.0;1000.0;0.5;0.05
63,421248226,0,,400000.0;1000.0;0.5;0.05
64,421253011,0,,400000.0;1000.0;0.5;0.05
65,421253185,0,,400000.0;1000.0;0.5;0.05
66,421244057,0,,400000.0;1000.0;0.5;0.05
67,421243402,0,,400000.0;1000.0;0.5;0.05
68,421244881,0,,400000.0;1000.0;0.5;0.05
69,421244275,0,,400000.0;1000.0;0.5;0.05
70,421243403,0,,400000.0;1000.0;0.5;0.05
71,421240308,0,,400000.0;1000.0;0.5;0.05
72,421242776,0,,400000.0;1000.0;0.5;0.05
73,421242358,0,,400000.0;1000.0;0.5;0.05
74,421241537,0,,400000.0;1000.0;0.5;0.05
75,421241342,0,,400000.0;1000.0;0.5;0.05
76,421240514,0,,400000.0;1000.0;0.5;0.05
77,421240943,0,,400000.0;1000.0;0.5;0.05
78,421248841,0,,400000.0;1000.0;0.5;0.05
79,421250688,0,,400000.0;1000.0;0.5;0.05
80,421251471,0,,400000.0;1000.0;0.5;0.05
81,421248440,0,,400000.0;1000.0;0.5;0.05
82,421250902,0,,400000.0;1000.0;0.5;0.05
83,421247221,0,,400000.0;1000.0;0.5;0.05
84,421250690,0,,400000.0;1000.0;0.5;0.05
85,421249642,0,,400000.0;1000.0;0.5;0.05
86,421246264,0,,400000.0;1000.0;0.5;0.05
87,421248843,0,,400000.0;1000.0;0.5;0.05
88,421251099,0,,400000.0;1000.0;0.5;0.05
89,421250903,0,,400000.0;1000.0;0.5;0.05
90,421252591,0,,400000.0;1000.0;0.5;0.05
91,421252592,0,,400000.0;1000.0;0.5;0.05
92,421252593,0,,400000.0;1000.0;0.5;0.05
93,421252801,0,,400000.0;1000.0;0.5;0.05
94,421227402,0,,400000.0;1000.0;0.5;0.05
95,421227403,0,,400000.0;1000.0;0.5;0.05
96,421221494,0,,400000.0;1000.0;0.5;0.05
97,421222928,0,,400000.0;1000.0;0.5;0.05
98,421223749,0,,400000.0;1000.0;0.5;0.05
99,421226590,0,,400000.0;1000.0;0.5;0.05
